"","site","zone","year.x","season","seq_run","mean.kd","min.kd","max.kd","mean.sst","min.sst","max.sst","mean.chla","min.chla","max.chla","lat","lon","depth_m","dmg"
"769","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"770","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"771","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"772","UK1","Offshore","2017","Fall","run1",0.07752,0.0348,0.2786,27.1415150684931,23.263,31.401,0.678709237905405,0.106085785,4.007139,24.89525,-80.572613,5.49,1.67
"1170","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1172","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1173","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1174","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1175","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1177","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1178","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"1179","UK1","Offshore","2018","Fall","run2",0.0705135135135135,0.0322,0.1796,27.1657671232877,22.144,31.289,0.559917363297297,0.10584365,2.30813,24.89525,-80.572613,5.49,1
"121","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"122","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"123","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"124","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"125","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"126","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"127","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"128","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"129","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"130","UK2","Inshore","2015","Spring","run1",0.173530434782609,0.147,0.2016,27.4921945205479,22.12,31.637,2.20219849130435,1.7291228,2.7006443,25.217965,-80.276098,4.27,1
"801","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"808","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"809","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"821","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"822","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
"823","UK2","Inshore","2017","Fall","run1",0.173485714285714,0.0962,0.2916,27.1653397260274,23.229,31.58,2.20637227714286,0.9024089,4.2745643,25.217965,-80.276098,4.27,1.33
