sample_num,full_site,site,zone,site_zone,sample,spp,year,time,season,seq_run
979,W Washer,LK1,Inshore,LK1-I,LK1-I_979,ssid,2016,Pre,Spring,run1
980,W Washer,LK1,Inshore,LK1-I,LK1-I_980,ssid,2016,Pre,Spring,run1
981,W Washer,LK1,Inshore,LK1-I,LK1-I_981,ssid,2016,Pre,Spring,run1
982,W Washer,LK1,Inshore,LK1-I,LK1-I_982,ssid,2016,Pre,Spring,run1
983,W Washer,LK1,Inshore,LK1-I,LK1-I_983,ssid,2016,Pre,Spring,run1
984,W Washer,LK1,Inshore,LK1-I,LK1-I_984,ssid,2016,Pre,Spring,run1
985,W Washer,LK1,Inshore,LK1-I,LK1-I_985,ssid,2016,Pre,Spring,run1
986,W Washer,LK1,Inshore,LK1-I,LK1-I_986,ssid,2016,Pre,Spring,run1
988,W Washer,LK1,Inshore,LK1-I,LK1-I_988,srad,2016,Pre,Spring,run1
989,W Washer,LK1,Inshore,LK1-I,LK1-I_989,srad,2016,Pre,Spring,run1
990,W Washer,LK1,Inshore,LK1-I,LK1-I_990,srad,2016,Pre,Spring,run1
991,W Washer,LK1,Inshore,LK1-I,LK1-I_991,srad,2016,Pre,Spring,run1
992,W Washer,LK1,Inshore,LK1-I,LK1-I_992,srad,2016,Pre,Spring,run1
993,W Washer,LK1,Inshore,LK1-I,LK1-I_993,srad,2016,Pre,Spring,run1
994,W Washer,LK1,Inshore,LK1-I,LK1-I_994,srad,2016,Pre,Spring,run1
995,W Washer,LK1,Inshore,LK1-I,LK1-I_995,srad,2016,Pre,Spring,run1
996,W Washer,LK1,Inshore,LK1-I,LK1-I_996,srad,2016,Pre,Spring,run1
1007,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1007,ssid,2016,Pre,Spring,run1
1008,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1008,ssid,2016,Pre,Spring,run1
1009,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1009,ssid,2016,Pre,Spring,run1
1010,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1010,ssid,2016,Pre,Spring,run1
1011,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1011,ssid,2016,Pre,Spring,run1
1012,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1012,ssid,2016,Pre,Spring,run1
1013,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1013,ssid,2016,Pre,Spring,run1
1014,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1014,ssid,2016,Pre,Spring,run1
1015,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1015,ssid,2016,Pre,Spring,run1
1016,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1016,ssid,2016,Pre,Spring,run1
1017,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1017,srad,2016,Pre,Spring,run1
1018,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1018,srad,2016,Pre,Spring,run1
1019,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1019,srad,2016,Pre,Spring,run1
1020,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1020,srad,2016,Pre,Spring,run1
1021,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1021,srad,2016,Pre,Spring,run1
1022,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1022,srad,2016,Pre,Spring,run1
1023,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1023,srad,2016,Pre,Spring,run1
1024,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1024,srad,2016,Pre,Spring,run1
1025,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1025,srad,2016,Pre,Spring,run1
1026,Fowey Rocks,UK3,Offshore,UK3-O,UK3-O_1026,srad,2016,Pre,Spring,run1
1037,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1037,ssid,2016,Pre,Spring,run1
1038,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1038,ssid,2016,Pre,Spring,run1
1039,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1039,ssid,2016,Pre,Spring,run1
1040,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1040,ssid,2016,Pre,Spring,run1
1041,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1041,ssid,2016,Pre,Spring,run1
1042,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1042,ssid,2016,Pre,Spring,run1
1043,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1043,ssid,2016,Pre,Spring,run1
1044,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1044,ssid,2016,Pre,Spring,run1
1045,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1045,ssid,2016,Pre,Spring,run1
1046,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1046,ssid,2016,Pre,Spring,run1
1047,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1047,srad,2016,Pre,Spring,run1
1048,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1048,srad,2016,Pre,Spring,run1
1049,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1049,srad,2016,Pre,Spring,run1
1050,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1050,srad,2016,Pre,Spring,run1
1051,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1051,srad,2016,Pre,Spring,run1
1052,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1052,srad,2016,Pre,Spring,run1
1053,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1053,srad,2016,Pre,Spring,run1
1054,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1054,srad,2016,Pre,Spring,run1
1055,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1055,srad,2016,Pre,Spring,run1
1056,Bache Shoals,UK3,Inshore,UK3-I,UK3-I_1056,srad,2016,Pre,Spring,run1
1070,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1070,srad,2018,Post,Fall,run2
1071,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1071,srad,2018,Post,Fall,run2
1072,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1072,srad,2018,Post,Fall,run2
1073,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1073,srad,2018,Post,Fall,run2
1074,Basin Hill,UK2,Inshore,UK2-I,UK2-I_1074,srad,2018,Post,Fall,run2
